source_id,name,layer,domain,status,owner,primary_url,data_access,machine_readable,primary_metrics,uncertainty_or_runs,license_or_terms,ingestion_tier,freshness,materialized_in_sample,notes
hf_official_internlm_wildclawbench,HF official benchmark: internlm/WildClawBench,benchmark dataset,agents,active,internlm,https://huggingface.co/datasets/internlm/WildClawBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mme_benchmarks_video_mme_v2,HF official benchmark: MME-Benchmarks/Video-MME-v2,benchmark dataset,multimodal/document,active,MME-Benchmarks,https://huggingface.co/datasets/MME-Benchmarks/Video-MME-v2,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_llamaindex_parsebench,HF official benchmark: llamaindex/ParseBench,benchmark dataset,multimodal/document,active,llamaindex,https://huggingface.co/datasets/llamaindex/ParseBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mteb_arguana,HF official benchmark: mteb/arguana,benchmark dataset,retrieval,active,mteb,https://huggingface.co/datasets/mteb/arguana,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_hf_audio_open_asr_leaderboard,HF official benchmark: hf-audio/open-asr-leaderboard,benchmark dataset,speech,active,hf-audio,https://huggingface.co/datasets/hf-audio/open-asr-leaderboard,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mmmu_mmmu_pro,HF official benchmark: MMMU/MMMU_Pro,benchmark dataset,multimodal/document,active,MMMU,https://huggingface.co/datasets/MMMU/MMMU_Pro,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_nvidia_compute_eval,HF official benchmark: nvidia/compute-eval,benchmark dataset,coding/agents,active,nvidia,https://huggingface.co/datasets/nvidia/compute-eval,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_lexam_benchmark_lexam,HF official benchmark: LEXam-Benchmark/LEXam,benchmark dataset,legal,active,LEXam-Benchmark,https://huggingface.co/datasets/LEXam-Benchmark/LEXam,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mercor_ace,HF official benchmark: mercor/ACE,benchmark dataset,agents,active,mercor,https://huggingface.co/datasets/mercor/ACE,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mercor_apex_v1_extended,HF official benchmark: mercor/APEX-v1-extended,benchmark dataset,agents,active,mercor,https://huggingface.co/datasets/mercor/APEX-v1-extended,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_vlabench_vlabench_primitive_ft_lerobot_video,HF official benchmark: VLABench/vlabench_primitive_ft_lerobot_video,benchmark dataset,multimodal/document,active,VLABench,https://huggingface.co/datasets/VLABench/vlabench_primitive_ft_lerobot_video,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mercor_apex_agents,HF official benchmark: mercor/apex-agents,benchmark dataset,agents,active,mercor,https://huggingface.co/datasets/mercor/apex-agents,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_futurema_evasionbench,HF official benchmark: FutureMa/EvasionBench,benchmark dataset,safety,active,FutureMa,https://huggingface.co/datasets/FutureMa/EvasionBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_matharena_aime_2026,HF official benchmark: MathArena/aime_2026,benchmark dataset,mathematics,active,MathArena,https://huggingface.co/datasets/MathArena/aime_2026,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_tiiuae_pbench,HF official benchmark: tiiuae/PBench,benchmark dataset,general/science,active,tiiuae,https://huggingface.co/datasets/tiiuae/PBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_matharena_hmmt_feb_2026,HF official benchmark: MathArena/hmmt_feb_2026,benchmark dataset,mathematics,active,MathArena,https://huggingface.co/datasets/MathArena/hmmt_feb_2026,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_mteb_bright,HF official benchmark: mteb/BRIGHT,benchmark dataset,retrieval,active,mteb,https://huggingface.co/datasets/mteb/BRIGHT,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_collinear_ai_yc_bench,HF official benchmark: collinear-ai/yc-bench,benchmark dataset,coding/agents,active,collinear-ai,https://huggingface.co/datasets/collinear-ai/yc-bench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_claw_eval_claw_eval,HF official benchmark: claw-eval/Claw-Eval,benchmark dataset,agents,active,claw-eval,https://huggingface.co/datasets/claw-eval/Claw-Eval,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_internscience_researchclawbench,HF official benchmark: InternScience/ResearchClawBench,benchmark dataset,agents,active,InternScience,https://huggingface.co/datasets/InternScience/ResearchClawBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_delores_lin_mdpbench,HF official benchmark: Delores-Lin/MDPBench,benchmark dataset,agents,active,Delores-Lin,https://huggingface.co/datasets/Delores-Lin/MDPBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_meituan_longcat_wbench,HF official benchmark: meituan-longcat/WBench,benchmark dataset,agents,active,meituan-longcat,https://huggingface.co/datasets/meituan-longcat/WBench,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
hf_official_datacurve_deep_swe,HF official benchmark: datacurve/deep-swe,benchmark dataset,coding/agents,active,datacurve,https://huggingface.co/datasets/datacurve/deep-swe,Hugging Face REST API/dataset,yes,dataset-defined leaderboard metrics,dataset-defined; inspect leaderboard schema,dataset card license/terms,A,discover dynamically via benchmark:official tag,no,Discovered through the official Hugging Face benchmark leaderboard API on 2026-06-18.
